Part No,Eclipse,System of Measurement,Thread Size,Screw Material,Head Type,Final Head Type
428-001,39485,Inch,#10-32,Stainless Steel,Hexagon,Hex
428-002,39486,Inch,#10-32,Stainless Steel,Hexagon,Hex
428-004,39491,Inch,#10-32,Stainless Steel,Hexagon,Hex
428-005,39492,Inch,#10-32,Stainless Steel,Hexagon,Hex
445-001,39531,Inch,#2-56,Nylon,Pan,Pan
445-002,39532,Inch,#2-56,Nylon,Pan,Pan
445-003,39533,Inch,#2-56,Nylon,Pan,Pan
445-004,39534,Inch,#2-56,Nylon,Pan,Pan
445-005,39535,Inch,#2-56,Nylon,Pan,Pan
445-006,39536,Inch,#2-56,Nylon,Pan,Pan
445-007,39537,Inch,#2-56,Nylon,Round,Round
445-008,39538,Inch,#2-56,Nylon,Round,Round
445-009,39539,Inch,#2-56,Nylon,Fillister,Fillister
445-010,39540,Inch,#2-56,Nylon,Hexagon,Hex
445-011,39541,Inch,#2-56,Nylon,Hexagon,Hex
445-013,39543,Inch,#4-40,Nylon,Round,Round
445-014,39544,Inch,#4-40,Nylon,Flat; 80° to 82° Undercut,Flat
445-015,39545,Inch,#4-40,Nylon,Flat; 80° to 82° Undercut,Flat
445-017,39547,Inch,#4-40,Nylon,Pan,Pan